Title,Main Link,Sub Link,Status
Why Collecting History Online is Web 1.5,https://rrchnm.org/essays/why-collecting-history-online-is-web-1-5/,https://web.archive.org/web/20220703112141/https://rrchnm.org/essay/why-collecting-history-online-is-web-1-5/#5,working
Why Collecting History Online is Web 1.5,https://rrchnm.org/essays/why-collecting-history-online-is-web-1-5/,https://web.archive.org/web/20220703112141/https://rrchnm.org/essay/why-collecting-history-online-is-web-1-5/#6,working
Why Collecting History Online is Web 1.5,https://rrchnm.org/essays/why-collecting-history-online-is-web-1-5/,https://web.archive.org/web/20220703112141/https://rrchnm.org/essay/why-collecting-history-online-is-web-1-5/#7,working
Why Collecting History Online is Web 1.5,https://rrchnm.org/essays/why-collecting-history-online-is-web-1-5/,https://web.archive.org/web/20220703112141/http://flickr.com/,working
Why Collecting History Online is Web 1.5,https://rrchnm.org/essays/why-collecting-history-online-is-web-1-5/,,error: Invalid URL 'None': No scheme supplied. Perhaps you meant https://None?
Why Collecting History Online is Web 1.5,https://rrchnm.org/essays/why-collecting-history-online-is-web-1-5/,https://web.archive.org/web/20220703112141/http://www.oreillynet.com/pub/a/oreilly/tim/news/2005/09/30/what-is-web-20.html,working
Why Collecting History Online is Web 1.5,https://rrchnm.org/essays/why-collecting-history-online-is-web-1-5/,https://web.archive.org/web/20220703112141/http://www.uic.edu/htbin/cgiwrap/bin/ojs/index.php/fm/article/viewArticle/2125/1972,status code: 404
Why Collecting History Online is Web 1.5,https://rrchnm.org/essays/why-collecting-history-online-is-web-1-5/,https://web.archive.org/web/20220703112141/https://rrchnm.org/essay/why-collecting-history-online-is-web-1-5/#2-a,working
Why Collecting History Online is Web 1.5,https://rrchnm.org/essays/why-collecting-history-online-is-web-1-5/,https://web.archive.org/web/20220703112141/http://chnm.gmu.edu/digitalhistory/,working
Why Collecting History Online is Web 1.5,https://rrchnm.org/essays/why-collecting-history-online-is-web-1-5/,https://web.archive.org/web/20220703112141/https://rrchnm.org/essay/why-collecting-history-online-is-web-1-5/#3-a,working
Why Collecting History Online is Web 1.5,https://rrchnm.org/essays/why-collecting-history-online-is-web-1-5/,https://web.archive.org/web/20220703112141/https://rrchnm.org/essay/why-collecting-history-online-is-web-1-5/#4-a,working
Why Collecting History Online is Web 1.5,https://rrchnm.org/essays/why-collecting-history-online-is-web-1-5/,https://web.archive.org/web/20220703112141/http://dublincore.org/,working
Why Collecting History Online is Web 1.5,https://rrchnm.org/essays/why-collecting-history-online-is-web-1-5/,https://web.archive.org/web/20220703112141/http://omeka.org/,working
Why Collecting History Online is Web 1.5,https://rrchnm.org/essays/why-collecting-history-online-is-web-1-5/,https://web.archive.org/web/20220703112141/https://rrchnm.org/essay/why-collecting-history-online-is-web-1-5/#5-a,working
Why Collecting History Online is Web 1.5,https://rrchnm.org/essays/why-collecting-history-online-is-web-1-5/,https://web.archive.org/web/20220703112141/http://recaptcha.net/,status code: 404
Why Collecting History Online is Web 1.5,https://rrchnm.org/essays/why-collecting-history-online-is-web-1-5/,https://web.archive.org/web/20220703112141/https://rrchnm.org/essay/why-collecting-history-online-is-web-1-5/#6-a,working
Why Collecting History Online is Web 1.5,https://rrchnm.org/essays/why-collecting-history-online-is-web-1-5/,https://web.archive.org/web/20220703112141/https://rrchnm.org/essay/why-collecting-history-online-is-web-1-5/#7-a,working
Why Collecting History Online is Web 1.5,https://rrchnm.org/essays/why-collecting-history-online-is-web-1-5/,https://web.archive.org/web/20220703112141/http://www.flickr.com/commons,working
Why Collecting History Online is Web 1.5,https://rrchnm.org/essays/why-collecting-history-online-is-web-1-5/,https://web.archive.org/web/20220703112141/http://www.powerhousemuseum.com/collection/database/,status code: 404
An Introduction to U.S. History Research Online,https://rrchnm.org/essays/an-introduction-to-u-s-history-research-online/,https://web.archive.org/web/20220629184339/http://chnm.gmu.edu/resources/essays/files/history_matters_intro.pdf,working
An Introduction to World History Research Online,https://rrchnm.org/essays/an-introduction-to-world-history-research-online/,https://web.archive.org/web/20220629193559/http://chnm.gmu.edu/resources/essays/files/world_history_matters_intro.pdf,working
Sending Your Courses into the Blogosphere: An Introduction for “Old People”,https://rrchnm.org/essays/sending-your-courses-into-the-blogosphere-an-introduction-for-old-people/,https://web.archive.org/web/20220629201441/http://eastethnia.blogspot.com/,working
Sending Your Courses into the Blogosphere: An Introduction for “Old People”,https://rrchnm.org/essays/sending-your-courses-into-the-blogosphere-an-introduction-for-old-people/,https://web.archive.org/web/20220629201441/http://technorati.com/,working
